🙂,🙂,맛있어요 
쿠폰 두개 채울정도로 자주 오는 곳입니다. 노트북들고 저수지 보면서 작업하는데 너무 좋아요. 뷰 좋고 커피 맛있고 휘낭시에 맛있습니다. 아메리카노 + 무화과크림 휘낭시에 조합 추천합니다!혼자 공부나 작업하기도 좋고 가족이나 친구 연인 데려와서 대화 나누기도 좋습니다.좌석도 다양해서 골라 앉을 수 있고 주차가 진짜 편합니다. 건물 뒤편에 정원 꾸며놓은곳도 이뻐요. 꼭 들러보세요 :-) ,스몰라떼진하고고소해요커피맛집인정^^정원이예뻐서 테라스좌석에앉아도 좋더라고요,냉면은 무조건 여기
망고빙수와 아메리카노 모두 훌륭했어요  상주견 후는 정말 사람을 좋아해서  강아지 좋아하시는 분들은 정말 행복한 시간 보내실 수 있어요.  애견동반 가능하구요.   사장님도 정말 친절하세요   인테리어도 감각적이에요  사진도 잘 나오고  읽을 책도 한 벽에.   재방문 의사 있음.  샌드위치도 맛나요.,매장 너무 깔끔하고 쾌적하고 귀엽고 뷰 너무 좋고 혼자다해요 !!!커피도 맛있고 디저트도 맛있고 들어오는 길에 영화관에서 풍겨오는 팝콘 냄새도 기분 좋아요!,맛있고 깔끔하고 푸짐하고 친절하고 점심 잘 먹고 갑니다.
,정말맛있어요 고기가 숯불향가득 너무부드러움!!! 스타필드점이 명륜진사찐맛집  !곤드레나물밥도 생겼네요,친구랑 소고기 먹고 싶을때 가는집이고 엄마랑 처음 갔는데 연한부위로 맛있게 잘 구워주셔서 넘 잘 먹고 왔습니다. 육회 된장찌개가 넘 맛있습니다.
맛있어요,안주가 맛도잇고지인들과 대화하기 좋습니다~사장님도 친절하시고~👍,벌써 두번째 방문이네요! 콩국물 엄청 진~~~하고 걸쭉해요! 면도 쫄깃쫄깃하고 튀긴꽃빵도 같이 나와서 엄청 든든하게 먹었습니다! 웬만한 콩국수 전문점보다 더 맛있고 양도 많았어요! 직원분들도 너무 친절하시고 점심시간에 갔는데도 음식이 바로 나왔어요!!근처에 이런 가성비 좋고 친절한 곳이 있어서 너무 좋아요! 무엇보다도 먹었던 음식들 전부다 맛있어서 정말 마음에 들어요!!
기본 이상 합니다,놀이방 식당이라 아이와 방문하기 좋고 감자탕부터 아이들이 먹기좋은 돈까스나 불고기뚝배기 메뉴도있어 가족식사하러 방문하기 좋아요😊,잘먹었습니다
미사에서 술 마실때 꼭 오는 곳!! 가성비도 좋고 맛도 좋아요!! 사장님 친절해서 너무 좋아요,로제파스타랑 김피탕이 맛있어오기본적으로 모든안주가 맛있고생일모임했는데 생일 노래까지사장님이 진짜 센스있으세요술도 원뿔원ㅎㅎ!!,좋아요
진짜 청국장전문점보다 청국장이 더더더 맛있는곳이에요냉삼도 도톰하니 잡내없이 맛있고사장님 너무너무 친절하세요점심에 열무비빔밥도 먹으러 가보고싶어요👍,냉삼 고기를 크게 썰어나와서 고기맛 제대로 느끼고 김치파김치콩나물 같이구워 먹으니까 너무 맛있어요. 고기가 부드럽고 상추쌈해서 구운야채 푸짐하게 넣어서 한입 먹으니까 말이 필요없어요.청국장밥 식사로 마무리하면 속이 든든해요.고기가격 착해서 좋고 밑반찬도 넉넉하게 리필해서 먹을수 있어서 부담없이 식사하러가기 좋아요.청국장밥만 따로 주문해서 먹는사람들이 많아서 청국장 맛집이기도해요~ 구수함이 가득 느껴지는 청국장도 추천이에요~,너무 맛있어요🤍🩵💛🖤
우영우 보다 고기국수 먹고싶어 가장가까운 고기국수 파는곳 찾아보니 문쉐프고기국수 먹으러왔다. 재료소진으로 못먹고 옆 식당에서 쫄면이랑 잔치국수 먹었는데 너무 맛있어요. 사장님도 친절하시고 주차할때 없어요 ㅠㅠ  리뷰에 주차편하다해서 차끌고오면 난감합니다. ,우영우 보다 고기국수 먹고싶어 가장가까운 고기국수 파는곳 찾아보니 문쉐프고기국수 먹으러왔다. 재료소진으로 못먹고 옆 식당에서 쫄면이랑 잔치국수 먹었는데 너무 맛있어요. 사장님도 친절하시고 주차할때 없어요 ㅠㅠ  리뷰에 주차편하다해서 차끌고오면 난감합니다. ,매장이 깔끔하고 아기자기한데 음료와 커피 너무 맛있었어요 :) 자주 방문할 예정입니다! 
영롱... 맛도 다양하고 너무 맛있었어요🥹 청양마요 꼭 드세요!!! 사진 찍는거 부담스러우셨을텐뎈ㅋㅋㅋ 사장님도 친절하셨어요! 다만 굽는 타이밍 안 맞으면 좀 기다리셔야해요.. 원영적 사고로 보면 갓 구운 거 먹을 수 있어 오히려 좋은 ㅋㅋㅋㅋㅋㅋㅋ 없어지지말고 오래오래 동네에 남아주세요ㅠㅠ,맛있어요~~   맛도 다양해서 다음에 다른맛도 먹어보려구요,매장 12층으로된 독채? 카페예요. 주차도 스무대가까이 가능하고 일찍 오픈해서 더 좋구요 그라니따 음료도 넘 맛있어서 자주갑니다
화덕피자랑 파닭 추천합니다!!! 피자는 치즈 엄청 올려주시고 쫜득하니 맛있어요🍕 파닭은 소스가 좀 매운데도 안짜고 파랑 잘어울려서 계속 먹게 됩니다🥵 맥주는 신선해서 엔젤링도 잘 생기고 소세지랑 감자를 주문했는데 샐러리 당근도 같이 주셔서 입가심으로 딱 좋았던 것 같습니다 5만원 이상 구매하면 뽑기 이벤트도 있는데 저희는 퀘사디아 뽑았어요!! 이번달까지라고 하시니까 해보는 것도 좋을 것 같아요☺️☺️ 번창하세요!,치맥 땡겨서 왔는데 엄청 맛있어요!갓 튀긴 치킨이라 더 맛있는 것 같아요,좋아요
맛있게 잘 먹었습니다! 특히 또띠아 완전 제 스타일이었어요… 자주 갈 것 같습니다 ㅎㅎ,요즘 샐러드 🥗가격 진짜 비싼데 여기 신선한 채소도 듬뿍듬뿍 넣어주시면서 정말 아낌없이 맛있게 만들어주세요! 다이어트 해야하는데 넘 맛있게 많이 주심! 친절하시기까지🫠🫠 정기권도 있어 넘 좋은것 같아요!,아담만두 굴림만두 맛있어요 ㅎㅎ 속이 꽉차서 씹는 식감도좋아요왕만두도 넘 맛있네용ㅠㅠ
제육덮밥 짱맛😆😆혼밥하기도 좋고 조용하고 맛있어옹!!!!!나만알고싶은 밥집,제육덮밥 짱맛😆😆혼밥하기도 좋고 조용하고 맛있어옹!!!!!나만알고싶은 밥집,넓고 쾌적해서 지인들과 즐겁게 차마시고 얘기나눴어요 그리고 반려견도 같이 들어갈수 있어서 좋아요
친절해요,굿,동네에 있어서 포장으로 종종 사먹었는데... 네이버 포장 주문시 주문 누락이 잘 되는거같아요 ㅠㅠ 주문한지 한참 되어서 얼마나 걸릴지 전화하면 그때서야 주문 확인하시는지.. 언제 전화해도 이십분 걸린다고 하시네요. 배달 플랫폼으로도 주문 많이 들어와서 바쁘신 건 알겠지만 네이버주문도 확인 잘 부탁드립니다. 양도 다른 곳보다 적어요...
,구내식당. 이만한 가성비가 없긴 하죠.,조금 찾기 힘들었지만 정말 맛있고 모두 만족스러운 식사였습니다! 미리 주문해둬서 음식도 엄청 빨리 나왔어요!발사믹은 직접 끓이셨는지 정말 진했고 빵도 맛있었구요!피자도 풍미가 장난 아니어서 너무 맛있었어요!까르보나라 강추❤라비올리도 풍미 장난아님 ㅠㅠ❤실망스러운 메뉴라는건 없었어요! 5인 + 유모차 까지 가능한 좌석이 한군데 있어서 아주 편하게 다녀왔습니다!
삼겹살도 맛있는데 닭갈비도 역시 최고네요~ 닭갈비 고기도 육즙이 살아있고 양념이랑 참나물에 양배추 각종 야채들과 넘 조화로운 맛이예요~ 오늘은 치즈닭갈비 먹었는데 치즈에 찍어서 직접 담그시는 무쌈이랑 깻잎에 상추 싸서 먹으니 늠 행복하더라구요~ 정말 자꾸 생각나는 맛집입니다~강추강추!!!!!!,항상 이용하는 곳입니다 몇년째 다니네요 삼겹살 or 닭갈비 말모말모 고기질이 확실히 다릅니다 ~ 매장도 넓고 친절하시고!!긴말 필요없는 믿고 드셔보시길!!,마라탕이 너무짜고 재료들이 물에 담궈저 있어서 좀 ..
가게 내부가 넓고 쾌적한게 단체모임 갖기에 좋을 것 같았습니다.미사역 주변에 은근 회사가 많은데 직장인분들 회식장소로도 딱 좋을 것 같아요!어른입맛 아이입맛 다 사로잡을 맛이였구요! 메뉴 하나하나 한정식에서 맛볼 수 있을 법한 비주얼로 정갈하게 나오는게 좋더라구요! 거기에 메뉴 구성이 알차서 가성비 좋은 곳이라고 생각합니다 :),여기 시그니처 통삼겹튀김 수육을 먹어보았어요! 시그니처라도 칭할 만큼 푸짐하도 고기의 퀄리티가 야들야들 겉엔 튀김형식으로 김치와 상추무침과 함께 정말 맛있게 먹었어요! 선비다이닝이라해서 주막이 현대화된  한국음식인데 퓨전음식같기도! 이름도 재미있지만 컨셉을 이해하면 더 맛있는 즐거운 시간이었어요. 우삼겹 칼비빔면도 별미! 깔끔한 안주에 맥주한잔 즐기기 좋은 곳이었어요! 오픈한지 얼마안되었는데 꽤 입소문이 나서 불금 저녁에 꽤 손님이 많았어요! 친절하고 맛있는 선비다이닝! 미사에서 맥주한잔! 분위기있게 모임하기도 좋은 곳! 추천드려요!,하머니도 되고 친절하시고 맛있고 다 좋아요
뭉티기 진짜 최고에요!!육회비빔밥도 맛있고 미나리새우전도 너무 맛있네요!!사장님도 친절하시고 분위기도 아늑하고 자주 올께요!,뭉티기 최고! 항상 올때마다 최고에요!,돈가스 정식.깔끔한 맛
동네 갈만한집 괜찮음,항상 맛있게 먹고 있습니다,사장님 진짜 친절하시고 매장이 정말 청결합니다. 맛도 좋고. 평일 낮이라 그런지 주차도 바로 했습니다. 맛있게 먹고 기분좋게 나와서 행복하네요.
고기랑 야채가 진짜 신선하고 국물이 맛있어요 !!직원분도 친절하시고 식사 잘 했습니다 !!,여기 분위기 진~~짜 좋고 음식도 맜있고 사장님도 친절해요!  꼭 한번 다시 오면  좋을것 같아요♡^^독채가 있어 특히 커플데이트 추천입니다,ㅅ
꼭 한번 와보고 싶었는데 드디어 방문했네요!! 제주도에서 놀러오신 이모랑 왔는데 외관부터 예쁘다고 감탄하셨어요>.< 들어오자마자 친절하게 맞아주셔서 감사했고 음식도 정갈하게 나오고 맛있어서 편안한 분위기에서 즐길 수 있었습니다. 앞으로 가족들이랑 자주 오게 될 것 같아요~~~! 사장님 건강 챙기셔서 오래오래 장사해주세요❣️,꼭 한번 와보고 싶었는데 드디어 방문했네요!! 제주도에서 놀러오신 이모랑 왔는데 외관부터 예쁘다고 감탄하셨어요>.< 들어오자마자 친절하게 맞아주셔서 감사했고 음식도 정갈하게 나오고 맛있어서 편안한 분위기에서 즐길 수 있었습니다. 앞으로 가족들이랑 자주 오게 될 것 같아요~~~! 사장님 건강 챙기셔서 오래오래 장사해주세요❣️,반려견이랑 같이 올수있어서 너무 좋았어요🐾🩶개모차도 준비되어있어서 편하게 먹을 수 있었어요!음식들 다 너무 맛있었고 특히 피자도우가 너무 쫄깃하고 맛있었어요 다음에 와서 또 다른 메뉴들도 먹어보구싶어요😆
사진이 20장만 업로드 가능하고..선택 역순으로 등록이 되었지만ㅋㅋ추천 진심은 가득합니다오마카세 꼭 드세요알차게 찰지게 나옵니다,오랫만에 미사에서 제대로된 정통초밥을 즐겼네요. 모든 초밥이 하나같이 다 신선하고 맛있었어요. 같이 내어주신 홍합국도 넘 개운하고 맛있어서 리필해서 또 먹었어요. 꼭 드세요. 호수공원뷰도 좋고 사장님도 넘 친절하셔서 기분좋았던 곳이었어요.또 올거에요😄,스카이 폴리스 방문마다 오는 스파게티 맛집이에요오늘은 얼큰한게 먹고싶어서 살짝 국물 있는 토마토 짬뽕 스파게티로 주문했습니다! 역시 살짝 매콤하면서 토마토 소스 베이스가 너무 맛있어요ㅠㅠ! 전메뉴 먹고싶을만큼 다 맛있고 사장님도 정말 친절하세요매장도 깔끔하고 밖에 산책로 뷰도 예뻐서 분위기 좋습니다! 가성비도 좋으니 한끼 식사로 강추 드려요!!
뚝배기가 커요!고기도 많아서 좋았습니다맛있게먹고왔어요ㅎㅎ,선지해장국 깔끔하고너무맛잇어요 해장용으로좋습니다,메뉴가 단촐해요!! 냉면세트랑 고기추가 만두정도 있었는데비냉세트 물냉세트 주문하였습니다:)명동쪽에도 육삼냉면파는곳있던데 거기보다 고기든 냉면이든 훨 맛있습니다:)온육수도 따로 마실수있구 냉육수주이면 비냉에 냉육수 부어서 드시면되요! 다만 그냥 비냉먹고싶어서ㅎㅎ잘먹고갑니다🫡
요근래  먹어본 매운갈비찜중에 최고에요! 진짜 잡내 1도 안나고 매운맛 0단계로 했는데 양념 자체가 너무 맛있고 고기에 양념도 잘 배어있어요! 고기도 많고 다음에는 매장가서 먹으려고요 소주 3병각이에요 진짜로 레알,술이 술술 들어가는 매운 갈비찜.. 사장님 너무 친절하신건 말해모해고 계란찜이 기본으로 나오다뇨.. 말 다했죠… 하남에 이런 맛집 생겨서 좋아여ㅠㅠ 내 고향 하남에 이런 맛집이 사장님 오래 장사해주세여ㅠㅠㅠㅠ,맛있어요
냉삼 좋아해서 청담이고 미사고 여기저기 다 다녀봤는데 여기만한 곳 없음. 냉삼 특유 냄새 절대 안남.파절이도 원래 안먹는데 이 곳은 바로 무쳐주셔서 너무 맛있음. 하남에서 가성비.메뉴 통털어 이곳 따라 갈 집 절대 없음. 제발 오래오래 하셨음 ㅠㅜ 사장님 오늘도 잘먹었습니다,항상 백반 맛있어요,프라이빗하고 애견동반가능하고 친잘하시고 음식도 너무 맛나요!!
솔직히 여기 집에서 먼데.. 앞으로 즉떡은 여기서 먹으려고요.. 일단 사장님 엄청 친절하시고요! 유명한 또보xx 떡볶이보다 여기가 더 맛있어요 ㅠ.. 뭔가 자극적이지는 않은데 중독적이고.. 매운소스는 사장님 말씀대로 생각보다 매워서 살짝씩 찍어 먹으니 너무 맛있어요! 감튀랑 볶음밥 필수.. 또 방문할게요! 없어지지 말아주세요 🥹,맛잇게 못찍었는데 진짜 넘넘 맛잇어요.. 영화보러 가는길에 간건데 담에  이거 먹으러 여기 또올거같애요! 매장도 깨끗하고 사장님도 친절하세요! 너무 달지않고 너무 맵지도않고 간이 딱 적당히 칼칼한데 넘 맛잇엇어요  음료수 먹는데 얼음도 퍼넣을수 있어서 좋앗어요👍,하남 미사속 일본을 다녀왔네요~~인테리어부터 일단 최고구요~6품모듬 주문했도 육회서비스 받았는데아주 훌륭합니다 ㅠㅠ 넘넘 맛있어요~하나하나 구워서 부위별로 음미하며아주 행복한 시간 보냈어요 :)하이볼은 꼭 필수로 주문하세용 ㅎ
